Experiment	condition	Bh	Bt	Ri	Trehalose	Glucose	Pyruvate	Succinate	Lactate	Formate	Acetate	Butyrate
A7V10_31	E1_p19	4.632778438	11.8149858	7.352848461	0	0.015765164	0	2.137087645	0.628856242	1.435895131	11.798289	16.01901301
A7V10_32	E1_p20	8.289354793	8.74810275	6.688643339	0	0.01378353	0	1.914926445	0.623313476	1.234386471	12.50357754	15.51745854
A7V10_33	E1_p21	10.48347105	10.43945648	3.112882519	0	0.01467034	0	1.717277075	0.656112195	0.972822618	14.56061459	15.19843993
A7V10_34	E1_p22	13.26630296	8.683327418	3.552429788	0	0.024142916	0	1.75676058	0.623792509	1.427755209	18.9118895	16.72877989
A7V10_35	E1_p23	12.7290365	9.030515868	2.716012466	0	0.019212521	0	1.647095783	0.62251336	1.201180981	17.99969168	14.43717025
A7V10_36	E1_p24	12.87811257	8.067583563	2.088771881	0	0.031088103	0	1.798648444	0.721246567	1.057615659	19.2256419	13.62325677
A7V10_37	E1_p25	12.23018241	10.23351307	2.3789111	0	0.033816961	0	2.144214957	0.798159597	1.411684173	22.78494954	14.07394601
A7V10_38	E1_p26	12.66449576	9.495698578	2.437943281	0	0.034847548	0	2.303851837	0.903307915	1.212755483	22.42370494	12.75264251
A7V10_39	E1_p27	10.68821775	11.30471813	1.425855788	0	0.035780036	0	2.666686473	0.94568111	1.07651738	24.18743523	12.25716519
A6V11_1	E1_c1	0.133560979	0.054311324	0.007416648	0.680188711	9.88776444	9.991402612	0.618872405	0.757713311	0.932373202	2.422255597	0.212530634
A6V11_2	E1_c2	2.14309343	1.165702369	0.075405556	0.481082753	8.095329299	8.030869661	1.210736261	0.852109979	0.878631469	6.970125135	0.351913964
A6V11_3	E1_c3	3.218052734	9.88870235	0.669830301	0.137880043	0.249322835	0.071939989	4.7905053	0.740547068	0.644288363	14.78977759	2.522426904
A6V11_4	E1_c4	2.146762075	9.215189105	2.834386873	0.195999592	0.0726469	0	3.480555357	0.887909192	0	10.06973302	7.142932665
A6V11_5	E1_c5	2.069553892	9.611624654	4.251915701	0.245897526	0.065192495	0	2.901913706	0.818657448	0.726063809	5.766352582	10.43671326
A6V11_6	E1_c6	1.316330967	10.76151194	4.327391177	0.265856658	0.061262453	0	2.592344402	0.917557596	1.051939621	4.428476538	11.40049668
A6V11_7	E1_c7	4.411609863	11.72702837	7.798443204	0	0.06432053	0	2.735710903	0.836405159	0.880212872	6.027146443	13.03309994
A6V11_8	E1_c8	4.369176226	10.82513594	4.87884227	0	0.060809242	0	2.334372128	0.572766413	1.368822001	6.784770737	12.95595736
A6V11_9	E1_c9	2.898462414	6.609853979	3.432309423	0	0.073510045	0	2.184855797	0.448551403	1.459662909	7.681451606	13.85160597
A6V11_10	E1_c10	3.423342049	10.46436228	5.721725355	0	0.062376915	0	2.313469585	0.415946113	1.24701664	9.027164095	15.31594433
A6V11_11	E1_c11	0.981256026	9.662425528	5.886682149	0.075728581	0.061721245	0	2.026912979	0.304207297	1.502325704	6.366734279	15.11437041
