patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.1082	41209.437	27714.761	21028	12236	11409	15676	2808	2091	3063	2865	1657	1667	3051	1756	2626
fig|536231.75.peg.1083	7832.835	5801	4682	1800	1849	3208	809	602	969	270	289	288	318	138	134
fig|536231.75.peg.1084	40994.056	26437.741	23573	13783	11898	15871	3389	2725	4864	4056	2273	2228	2316	1712	1936
fig|536231.75.peg.1085	35090.56	21497	22836	12745	12826	18166	2679	2134	3319	2138	1667	1442	2471	1280	1710
fig|536231.75.peg.1086	19851.053	12489	12131.242	13734	12775	20994	2431	1857	2513	2265	1345	959	2184	1267	1530
fig|536231.75.peg.1087	22	41	31	38	18	30	12	7	11	4	0	0	2	0	0
fig|536231.75.peg.1088	43663	38898.048	26898.945	12191	11555	17773	4251	3328	3469	2343	1757	1682	2374	1788	1402
fig|536231.75.peg.1089	10510	9380.233	10402	7645	6343	12191	1698	1207	774	2134	946	1111	2630	1528	1868
fig|536231.75.peg.1090	13813	7607.086	7264	6181	5021	6515	1245	1065	1179	737	741	471	758	540	489
fig|536231.75.peg.1091	4	9	2	0	0	0	0	0	1	0	0	0	0	0	0
fig|536231.75.peg.1092	11038.012	6909.988	7014	6819	5545	9603	1097	908	1326	750	547	387	591	419	340
fig|536231.75.peg.1093	4203	3050	2042	235	471	741	195.062	114	226	54	37	91	146	103	86
fig|536231.75.peg.1094	1011	1129	910	288	328	396	64.938	67	48	77	39	26	334	79	43
fig|536231.75.peg.1095	16	21	4	0	0	17	4	2	2	0	0	0	0	0	0
fig|536231.75.peg.1096	961	1093	790	470	538	1311	114	53	95	39	80	109	282	103	56
fig|536231.75.peg.1097	14657.188	9090	10938	11150	10709	16828.955	1549	1360	1278	2080	1689	1379	2565	1497	1372
fig|536231.75.peg.1098	1173.591	836	1183.575	822.549	1148.4	1879.011	95	94.791	106	106	75	85	255	109	182
fig|536231.75.peg.1099	437.274	336	398.424	373.762	400.6	517.719	39.651	51.831	48.605	25	64.799	65	39	57	31
fig|536231.75.peg.1100	1863.002	1169	947.001	564.689	767	1155.315	144.349	82.378	141.395	87	150.201	161	95	60	45
fig|536231.75.peg.1101	9709	6100	6354	19553	16970	25800	1097	911	940	1261	940	797	1708	1310	704
