patricID	ri_t04_A	ri_t04_B	ri_t04_C	ri_t48_A	ri_t48_B	ri_t48_C
fig|536231.75.peg.101	169	107	81	185	178	367
fig|536231.75.peg.102	5858.192	4580.147	1042	484.355	790.944	1395.144
fig|536231.75.peg.103	18171.421	12357.783	5699	4117.645	3630.056	5320.856
fig|536231.75.peg.104	10100.589	6895.377	2686	4856.36	3513.925	5387
fig|536231.75.peg.105	96	68	206	0	0	3
fig|536231.75.peg.106	2891.143	1922.351	510.988	446.536	429.872	782.221
fig|536231.75.peg.107	4642.496	4192.539	2102.574	2317.805	2306.99	3713.74
fig|536231.75.peg.108	1090.158	773.194	381.438	1828.299	923.213	1238.039
fig|536231.75.peg.109	1468	866	431	5569.456	6056	8226
fig|536231.75.peg.110	294	154	81	1283.544	1321	1676
fig|536231.75.peg.111	203.882	165	92	847.96	579	1055
fig|536231.75.peg.112	19083.338	19754.891	9744	9388.04	9026	11576
fig|536231.75.peg.113	1	1	0	5	0	0
fig|536231.75.peg.114	8329.182	5503.001	2607	8837	9040	13285.004
fig|536231.75.peg.115	4286.26	3602.002	1949	2895	3041	4438
fig|536231.75.peg.116	2531	1535	833	5628	5613	8309
fig|536231.75.peg.117	1939.557	1439	743	7922	6625	9444
fig|536231.75.peg.118	121.445	56	29	96	106	220
fig|536231.75.peg.119	3800.015	3694	2309	2472	2201	4513
fig|536231.75.peg.120	12272.063	7494	5247	6662	6488	10125
fig|536231.75.peg.121	4896.504	3209	2824	4758	4461	7457.057
fig|536231.75.peg.122	3781.066	4097	2448	5933	5770	11366.943
fig|536231.75.peg.123	40	45	49	45	16	34
fig|536231.75.peg.124	5	10	0	45	0	27
fig|536231.75.peg.125	6162	4761	2338	3069	2237	3913
fig|536231.75.peg.126	1553	1043	723	8592	8519	15748
fig|536231.75.peg.127	3704.854	2454	1926	13627	12164	21575.041
fig|536231.75.peg.128	21740.447	15490	8594	17775	18800	27621.952
fig|536231.75.peg.129	1056.037	1118.178	218	340.172	376	657.882
fig|536231.75.peg.130	5746.069	4138.822	2517	3849.828	3678	5425.166
fig|536231.75.peg.131	10535.2	9748.223	6919.414	3291	2866	3972
fig|536231.75.peg.132	40	37	5	25	15	48
fig|536231.75.peg.133	88	46	45	30	42	18
fig|536231.75.peg.134	7119.009	5124	2831	5304	4991	7975
fig|536231.75.peg.135	0	0	0	0	0	0
fig|536231.75.peg.136	9048.315	6840	3776	1482	1825	2990
fig|536231.75.peg.137	1635	1198	775	2369	2549	4108
fig|536231.75.peg.138	4061.257	2775	1635	10726	10115	13081
fig|536231.75.peg.139	19549.659	14270.001	7014	41408	34508	46520
fig|536231.75.peg.140	40	33	59	50	45	34
fig|536231.75.peg.141	269	128	101	1027	513	1129
fig|536231.75.peg.142	263400.816	203934.694	108129	35509	27237	36397.296
fig|536231.75.peg.143	62245.575	47268.722	29391	10294	10087	17493.704
fig|536231.75.peg.144	3451.118	2475	1858	2284	2246	3782
fig|536231.75.peg.145	451	331	170	546	658	1080
fig|536231.75.peg.146	543	462	240	540	566	1102
fig|536231.75.peg.147	4493.255	3442.297	1454	3210.264	2568.091	3464.812
fig|536231.75.peg.148	29284.76	20617.26	13125.562	6518.887	7577.774	11812.318
fig|536231.75.peg.149	25277.898	29048.532	19712	14845	9517	14568
fig|536231.75.peg.150	48730.008	41828.062	26306	86203	70829.57	132297
