patricID	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.464	42	25	23	147	24	12
fig|536231.75.peg.465	46	14	26	283	82	44
fig|536231.75.peg.466	24	18	12	48	24	0
fig|536231.75.peg.467	284	230	270	638	188	342
fig|536231.75.peg.468	9	5	21	87	40	26
fig|536231.75.peg.469	0	0	0	4	0	0
fig|536231.75.peg.470	3	0	0	5	22	0
fig|536231.75.peg.471	0	0	0	0	0	6
fig|536231.75.peg.472	7	9	3	103	59	0
fig|536231.75.peg.473	1	5	0	18	0	0
fig|536231.75.peg.474	0	0	1	0	0	0
fig|536231.75.peg.475	0	0	0	0	0	0
fig|536231.75.peg.476	0	0	0	7	79	0
fig|536231.75.peg.477	6	3	5	4	0	0
fig|536231.75.peg.478	0	0	0	0	0	0
fig|536231.75.peg.479	1	0	0	8	100	4
fig|536231.75.peg.480	2	5	0	4	20	21
fig|536231.75.peg.481	2	0	0	0	10	0
fig|536231.75.peg.482	0	0	0	0	0	0
fig|536231.75.peg.483	0	0	0	0	5	11
fig|536231.75.peg.484	0	0	0	0	37	0
fig|536231.75.peg.485	0	0	0	0	0	44
fig|536231.75.peg.486	0	0	0	0	12	25
fig|536231.75.peg.487	0	0	0	7	13	14
fig|536231.75.peg.488	3	0	1	12	44.943	14
fig|536231.75.peg.489	0	0	0	0	9.057	38
fig|536231.75.peg.490	0	0	2	7	22	79
fig|536231.75.peg.491	3	1	2	1	149	25
fig|536231.75.peg.492	3	6	2	0	38	0
fig|536231.75.peg.493	5	7	1	15	69	23
fig|536231.75.peg.494	0	0	2	0	0	0
fig|536231.75.peg.495	1	1	2	0	26	1
fig|536231.75.peg.496	3	0	0	4	13	12
fig|536231.75.peg.497	1	4	0	0	42	0
fig|536231.75.peg.498	1	3	2	10	37	43
fig|536231.75.peg.499	1	0	0	10	0	0
fig|536231.75.peg.500	0	0	0	0	28	33
fig|536231.75.peg.501	0	0	0	0	86	20
fig|536231.75.peg.502	3	2	4	7	93	11
fig|536231.75.peg.503	0	0	0	0	0	0
fig|536231.75.peg.504	0	0	0	4	35	0
fig|536231.75.peg.505	2	3	0	0	48	41
fig|536231.75.peg.506	1	0	5	10	0	0
fig|536231.75.peg.507	0	0	0	0	0	13
fig|536231.75.peg.508	0	0	0	4	39	0
fig|536231.75.peg.509	0	0	0	0	0	0
