patricID	ri_t12_A	ri_t12_B	ri_t12_C	btri_t12_riA	btri_t12_riB	btri_t12_riC
fig|536231.75.peg.2101	27479.19	14989	16014	2083	1273	1265
fig|536231.75.peg.2102	30239	14493.11	12758	3101	2158	2461
fig|536231.75.peg.2103	1067	888	911	189	64	138
fig|536231.75.peg.2104	16	46	4	0	0	0
fig|536231.75.peg.2105	12741.08	11275.155	6170.176	792.367	560.674	713.857
fig|536231.75.peg.2106	1643.981	1487.576	749.081	117.361	67.008	109.382
fig|536231.75.peg.2107	2605.791	2705.707	1445.949	88.747	111.999	102.649
fig|536231.75.peg.2108	3336.095	3733.726	3287.016	147.146	87.913	118.294
fig|536231.75.peg.2109	16394.23	24145.39	16311.158	394.595	339.087	311.706
fig|536231.75.peg.2110	73680.667	48394.072	37691.508	5476	3915	5598
fig|536231.75.peg.2111	1	1	2	0	0	0
fig|536231.75.peg.2112	27297.088	15080.526	15269	1527	1154	1431
fig|536231.75.peg.2113	112	171	246	15	4	11
fig|536231.75.peg.2114	0	0	1	0	0	0
fig|536231.75.peg.2115	3	0	0	0	0	0
fig|536231.75.peg.2116	4	5	1	0	0	0
fig|536231.75.peg.2117	1961	1088	1189	422	185	210
fig|536231.75.peg.2118	9	41	22	5	0	0
fig|536231.75.peg.2119	0	0	0	0	0	0
fig|536231.75.peg.2120	2075	5150.396	1870	88	54	48
fig|536231.75.peg.2121	158	97	75	10	6	0
fig|536231.75.peg.2122	75.146	52	76	4	1	3
fig|536231.75.peg.2123	482.854	277.816	296	23	18	8
fig|536231.75.peg.2124	88	75.184	60	7	0	1
fig|536231.75.peg.2125	87	68	57	4	0	6
fig|536231.75.peg.2126	102	42	77	5	2	6
fig|536231.75.peg.2127	178	94	89	6	7	2
fig|536231.75.peg.2128	122	94	87	7	5	15
fig|536231.75.peg.2129	834	491	839	27	16	57
fig|536231.75.peg.2130	546	475	572	32	28	27
fig|536231.75.peg.2131	14	0	13	0	0	3
fig|536231.75.peg.2132	19	22	16	0	4	5
fig|536231.75.peg.2133	2454	4519	4076	67	49	48
fig|536231.75.peg.2134	0	0	0	0	0	0
fig|536231.75.peg.2135	55	43	27	7	3	7
fig|536231.75.peg.2137	128	132	147	28	10	5
fig|536231.75.peg.2138	0	2	5	0	0	1
fig|536231.75.peg.2139	917	421	727.006	51	33	91.24
fig|536231.75.peg.2140	553	337	383.994	41	35	37.76
fig|536231.75.peg.2141	109	42	37	12	2	2
fig|536231.75.peg.2142	912	1097	1767	35	18	23
fig|536231.75.peg.2143	168	307	356	3	5	2
fig|536231.75.peg.2144	813	493	516	172	132	126
fig|536231.75.peg.2145	0	0	0	0	0	0
fig|536231.75.peg.2146	22	19	26	8	0	6
fig|536231.75.peg.2147	3	2	9	0	0	4
fig|536231.75.peg.2148	35	34	35	7	0	0
fig|536231.75.peg.2149	0	0	0	0	0	0
fig|536231.75.peg.2150	0	0	0	0	0	0
fig|536231.75.peg.2151	45	33	54	14	6	2
fig|536231.75.peg.2152	6	6	9	0	0	3
fig|536231.75.peg.2153	0	0	0	0	0	0
fig|536231.75.peg.2154	20	22	27	7	0	10
fig|536231.75.peg.2155	26	23	15	1	8	3
fig|536231.75.peg.2156	1	5	2	0	0	1
fig|536231.75.peg.2157	46	51	25	5	9	1
fig|536231.75.peg.2158	8111.197	5208	3837	1109	821	790
fig|536231.75.peg.2159	0	0	0	0	0	0
fig|536231.75.peg.2160	5	3	5	2	1	0
fig|536231.75.peg.2161	1	0	2	0	0	2
fig|536231.75.peg.2162	0	0	0	0	0	0
fig|536231.75.peg.2163	13	7	4	4	3	2
fig|536231.75.peg.2164	1	1	2	0	1	0
fig|536231.75.peg.2165	0	0	0	0	1	0
fig|536231.75.peg.2166	13.438	37.874	13.739	3.5	12.924	6
fig|536231.75.peg.2167	1.074	7	2	6	3	0
fig|536231.75.peg.2168	968	777	660	153	218	204
fig|536231.75.peg.2169	932	809	330	104	102	169
fig|536231.75.peg.2170	0	0	0	1	0	0
fig|536231.75.peg.2171	43.243	36.224	57.189	8	9	3
fig|536231.75.peg.2172	2	3	0	1	2	0
fig|536231.75.peg.2173	0	0	0	0	0	0
fig|536231.75.peg.2174	5611	15538.274	5487	114	64	46
fig|536231.75.peg.2175	0	5	15	3	0	0
fig|536231.75.peg.2176	27	49	26	2	5	5
fig|536231.75.peg.2177	21	27	28	0	4	1
fig|536231.75.peg.2178	21	6	2	0	0	0
fig|536231.75.peg.2179	5	5	6	1	2	0
fig|536231.75.peg.2180	0	0	0	0	0	0
fig|536231.75.peg.2181	0	2	4	0	0	1
fig|536231.75.peg.2182	0	1	0	0	0	0
fig|536231.75.peg.2183	0	0	0	0	0	0
fig|536231.75.peg.2184	221	93	250	43	26	42
fig|536231.75.peg.2185	167	358	197	17	24	14
fig|536231.75.peg.2186	1939	2301.086	1206.025	246	142	211
fig|536231.75.peg.2187	7868	8964	5361	936	834	936
fig|536231.75.peg.2188	2099.023	2601	1711	327	246	255
fig|536231.75.peg.2189	1848	2392	1732	162	144	138
fig|536231.75.peg.2190	3756	4223	2797	377	358	293
fig|536231.75.peg.2191	1661	1434	799	220	134	172
fig|536231.75.peg.2192	213769.721	136834.541	139117.424	27186.157	19255	20711
fig|536231.75.peg.2193	4358	3703	3486	741	587	711
fig|536231.75.peg.2194	7048.804	6476.734	5611	815.998	575	518
fig|536231.75.peg.2195	415.196	321.266	227	67.002	31	53
fig|536231.75.peg.2196	1453	1131	893	65	47	71
fig|536231.75.peg.2197	3437	2327	2137	443	390	375
fig|536231.75.peg.2198	1885	1420.104	1216	221	167	182
fig|536231.75.peg.2199	48	37	26	4	2	3
fig|536231.75.peg.2200	8252.268	6266.01	3441.758	501.478	279.989	257.482
fig|536231.75.peg.2201	17284.091	12811.686	10646.301	939.522	613.011	652.518
fig|536231.75.peg.2202	21886.148	17125	13261	2361	2212	2023
fig|536231.75.peg.2203	1101	841	815	51	39	51
fig|536231.75.peg.2204	5753	4435	5284	446	253	318
fig|536231.75.peg.2205	0	0	0	0	0	0
fig|536231.75.peg.2206	10120	8562	4698.052	471	354	421
fig|536231.75.peg.2207	58206.746	39989.052	80039	6142	6071	6259
fig|536231.75.peg.2208	34458.948	20384.078	44842	1893	1683	1824
fig|536231.75.peg.2209	35565	19099	48386.116	2178	1614	2081
fig|536231.75.peg.2210	22876.279	12959.834	30891	1269	984	1250
fig|536231.75.peg.2211	50371	25713.851	62227.955	3846	2822	3558
fig|536231.75.peg.2212	74241.454	37962.32	71754.686	9520	7320	7887
fig|536231.75.peg.2213	1393	1666	1186	60	65	33
fig|536231.75.peg.2214	7787	7921.082	11504.004	421	298	422
fig|536231.75.peg.2215	22408.87	20122.03	19408	2157	1556	1781
fig|536231.75.peg.2216	89177.885	75095.499	46943	10969	8087	9066
fig|536231.75.peg.2217	8724.333	9571	4464	1636	1085	1235
fig|536231.75.peg.2218	2598	2384	2026	363	330	354
fig|536231.75.peg.2219	3854	4156	3136	626	383	550
fig|536231.75.peg.2220	2817	2573	1858	262	175	254
fig|536231.75.peg.2221	2886	2213.006	4036	450	256	368
fig|536231.75.peg.2222	49943.9	50869.024	44479	4629	3144	3739
fig|536231.75.peg.2223	57190.872	46542.237	65113.813	3261.125	2929.993	2998.874
fig|536231.75.peg.2224	4895.603	4858.214	5138.98	412.875	376.007	355.614
fig|536231.75.peg.2225	26549.918	32153.514	30926.145	1766	1164	1459.511
fig|536231.75.peg.2226	66703.678	79214.008	64650	5358	4035	3983
fig|536231.75.peg.2227	222	393	244	56	38	75
fig|536231.75.peg.2228	617	749	533	98	97	79
fig|536231.75.peg.2229	921	1039	808	187	188	147
fig|536231.75.peg.2230	11	21	13	3	8	2
fig|536231.75.peg.2231	3	5	0	1	2	0
fig|536231.75.peg.2232	7239	7662	8528	806	606	453
fig|536231.75.peg.2233	85.009	171	37	15	17	26
fig|536231.75.peg.2234	3306	3141	2082	173	135	135
fig|536231.75.peg.2235	533	670	342	47	33	27
fig|536231.75.peg.2236	29296.413	34802.328	19140	5576	3937	4265
fig|536231.75.peg.2237	58585.976	159657.499	62896	5953	3227	2719
fig|536231.75.peg.2238	29273	51513.573	38357	9847	8086	6453
fig|536231.75.peg.2239	2531	3305	3298	298	282	307
fig|536231.75.peg.2240	1543	1832	1775	244	160	221
fig|536231.75.peg.2241	6056	7333	5960	603	353	485
fig|536231.75.peg.2242	1815	1881	1282	323	182	393.847
fig|536231.75.peg.2243	16095.177	16141	11703	2509	1936	2555.153
fig|536231.75.peg.2244	557	508.291	412	85	58	103.742
fig|536231.75.peg.2245	302	396.709	369	29	38	48.258
fig|536231.75.peg.2246	8570.644	8859.994	7083	958.335	751.001	922
fig|536231.75.peg.2247	1313.38	1386.006	1411	217.665	160.999	126
fig|536231.75.peg.2248	37106.914	37507.9	16323	3073	2696	2414
fig|536231.75.peg.2249	11799.746	6831	9608	1379	952	1029
fig|536231.75.peg.2250	1384	831	876	222	181	142
fig|536231.75.peg.2251	1899	1890	1071	428.189	240	479
fig|536231.75.peg.2252	12083.303	29276.325	17567.383	1105.998	616.001	784.954
fig|536231.75.peg.2253	3139.263	5849.819	4620.337	287.488	194.711	291.938
fig|536231.75.peg.2254	19953.706	21251.537	15391.28	2973.325	2343.288	2703.108
fig|536231.75.peg.2255	113106.63	90062.314	116757.454	8715.746	6369.506	7176.319
fig|536231.75.peg.2256	31364.032	39726.387	44282.904	2464.254	1819.494	1943.681
fig|536231.75.peg.2257	1091	891.227	826	128	72	111
fig|536231.75.peg.2258	3352	2335	1874	273	207	237
fig|536231.75.peg.2259	11097	8079	7002.203	1052	900	1090
fig|536231.75.peg.2260	6646	5093	3813	590	543	591
fig|536231.75.peg.2261	5381.125	4811	3528	490	354	421
fig|536231.75.peg.2262	2914	2617	1751	367	184	339
fig|536231.75.peg.2263	11584.564	6518	5664.037	514	240	356.005
fig|536231.75.peg.2264	24425	17861.798	17113.303	2210	1774	2250
fig|536231.75.peg.2265	5504	3532	4447.034	560	461	652
fig|536231.75.peg.2266	3676	2328	3756	495	349	409
fig|536231.75.peg.2267	5170	3094	3964	450	346	477
fig|536231.75.peg.2268	3974	2354	3943	437	412	478
fig|536231.75.peg.2269	1489	1060	1297	123	137	141
fig|536231.75.peg.2270	13643.868	11908.001	19772	1098	771	879
fig|536231.75.peg.2271	19579	15846	13706	2059	1523	1721
fig|536231.75.peg.2272	13899	10806	9434	1826	1283	1527
fig|536231.75.peg.2273	7481	7031	5119	847	639	745
fig|536231.75.peg.2274	109	87	158	28	27	33
fig|536231.75.peg.2275	241	176	346	66	22	66
fig|536231.75.peg.2276	184	173	180	22	13	23
fig|536231.75.peg.2277	16	14	24	0	0	0
fig|536231.75.peg.2278	801	425	385	64	35	65
fig|536231.75.peg.2279	326	400	430	22	11	9
fig|536231.75.peg.2280	19469	29104.083	30411	986	899	956
fig|536231.75.peg.2281	3554	2351.003	1832	503	376.35	540
fig|536231.75.peg.2282	402	295.997	250	74	73.65	55
fig|536231.75.peg.2283	2805	1283	1174	103	41	113
fig|536231.75.peg.2284	1930	5205	1679	30	9	27
fig|536231.75.peg.2285	0	8	0	0	0	0
fig|536231.75.peg.2286	1873.671	3604.958	1848.429	33.689	15	15.925
fig|536231.75.peg.2287	3668.417	4273.012	3077.571	307.311	181	241.075
fig|536231.75.peg.2288	22026.366	23924	20493.366	2888	2417	3099
fig|536231.75.peg.2289	22953.558	27301	23412	3435	2825	3492
fig|536231.75.peg.2290	1332	1266	1020	113	55	113
fig|536231.75.peg.2291	2121.649	1993.001	1834.978	207	149	183
fig|536231.75.peg.2292	1837.561	1471.736	1091.822	305.878	244.643	316.249
fig|536231.75.peg.2293	8768.789	7229.264	6687.2	822.122	705.357	1003.751
fig|536231.75.peg.2294	944	690.089	568	71.728	31.52	58.319
fig|536231.75.peg.2295	1554.176	1428.948	796	157.617	136.25	190.681
fig|536231.75.peg.2296	14619.68	11171.776	12665.616	1288.266	1214.23	1274.632
fig|536231.75.peg.2297	11418.82	8354.254	7028.331	1029.048	669.429	1086.914
fig|536231.75.peg.2298	65537.332	48445.2	41170.103	5367.34	3597.571	4628.454
fig|536231.75.peg.2299	45861.907	30444.287	32269.113	5322	4665	4327
fig|536231.75.peg.2300	4646.616	5274.085	3052	255	211	429
fig|536231.75.peg.2301	6525	6885	4698	456	301	375
fig|536231.75.peg.2302	11587	12217.817	9273	932	761	1059
fig|536231.75.peg.2303	17079	17301	17707	1757	1343	1690
fig|536231.75.peg.2304	4737	5663	5865	422	352	484
fig|536231.75.peg.2305	9300.405	9496.521	10944.066	361.851	249.888	315.831
fig|536231.75.peg.2306	4167.595	3520.497	3728.13	269.149	104.112	195.169
fig|536231.75.peg.2307	13383.227	11036.628	9967.236	1296.417	769.232	1064.737
fig|536231.75.peg.2308	4588.776	6635.626	4165.937	656.583	473.768	738.263
fig|536231.75.peg.2309	5401.028	8048.546	6919.624	243	206	249
fig|536231.75.peg.2310	31627.109	27813.52	20001	2316	1463	2409
fig|536231.75.peg.2311	24839.315	26924.006	30690	2449	1704	2565
fig|536231.75.peg.2312	14593.663	12914	14636	589	559	670
fig|536231.75.peg.2313	15318	17009.329	18540	1244	836	1277
fig|536231.75.peg.2314	19616.985	19416.34	18320.671	1767.003	1470	1691.954
fig|536231.75.peg.2315	683.23	748.444	472	45.406	22	32.791
fig|536231.75.peg.2316	153899.026	116777.248	180701.863	10828.843	7554.245	9097.232
fig|536231.75.peg.2317	16650.377	12328.616	16933.885	1439.318	831.755	1289.848
fig|536231.75.peg.2318	45791.562	34213.611	33699.002	4284.43	1740	3633.175
fig|536231.75.peg.2319	91892.233	63846.435	92872.439	12553.628	10834	11733
fig|536231.75.peg.2320	5815	4676	5106	475	357	640
fig|536231.75.peg.2321	9948.845	8795.988	14053.004	835.208	743.631	976.838
fig|536231.75.peg.2322	19903.227	15635.012	15295.976	1722.792	1454.369	2096.162
fig|536231.75.peg.2323	14415	13133.095	17825.581	1054	667	932
fig|536231.75.peg.2324	22056	16383.094	14118	2056	1824	2401
fig|536231.75.peg.2325	32129.143	22146.512	28903.027	2105	1505.425	2357
fig|536231.75.peg.2326	1650.741	1234.087	1074.973	93	74.575	98.715
fig|536231.75.peg.2327	2652.578	2132.885	1687	208	95	192.285
fig|536231.75.peg.2328	1549	1609.568	1854	96	60	78
fig|536231.75.peg.2329	0	13	3	0	0	0
fig|536231.75.peg.2330	49243	74641.221	33418.718	1045	767	629
fig|536231.75.peg.2331	5527	6836	6145.024	1212	795	917
fig|536231.75.peg.2332	35	79	70	15	14	16
fig|536231.75.peg.2333	533	1122	276	102	82	76
fig|536231.75.peg.2334	15	36	24	2	5	4
fig|536231.75.peg.2335	1364	1704	763	144	75	104
fig|536231.75.peg.2336	7846.005	9425	4458	1065	878	798
fig|536231.75.peg.2337	1841	3307	2028	102	85	63
fig|536231.75.peg.2338	2681	3088.039	1955	394	299	324
fig|536231.75.peg.2339	14988	13172	10907	2170	1252	1625
fig|536231.75.peg.2340	9913	5698	8404	912	558	858
fig|536231.75.peg.2341	5951.829	3566	6005.201	539	448	546
fig|536231.75.peg.2342	0	0	0	0	0	0
fig|536231.75.peg.2343	5	1	3	0	1	1
fig|536231.75.peg.2344	1	0	0	3	0	0
fig|536231.75.peg.2345	0	0	0	0	0	0
fig|536231.75.peg.2346	11781	22713	7058	224	257	368
fig|536231.75.peg.2347	10328	22637.855	6626.667	330	246	342
fig|536231.75.peg.2348	1578.28	1690.086	1534	1881.005	1504.06	2718.042
fig|536231.75.peg.2349	2151.72	2359.914	2526	1947.975	2303.94	3702.717
fig|536231.75.peg.2350	18282.222	17485.118	18062.253	16127.462	14035	28307.045
fig|536231.75.peg.2351	163.983	206.882	192.781	102.139	76	234.986
fig|536231.75.peg.2352	12637.963	13180.688	13574.633	10748.622	9032.187	19457.649
fig|536231.75.peg.2353	1792.037	1924.312	1859.367	1937.797	2113.512	3998.562
fig|536231.75.peg.2354	17597.014	17329.599	19768	12498	12646.301	23141
fig|536231.75.peg.2355	4224.583	4461.034	5644.576	5778.761	6640.153	9889.094
fig|536231.75.peg.2356	2686.016	2863.268	3722.63	3335.563	3158.339	4946.727
fig|536231.75.peg.2357	7389.906	7682.086	6393.794	5106.677	3356.508	7666.13
fig|536231.75.peg.2358	6755	7466.595	6006	6079.436	4730.903	9829.548
fig|536231.75.peg.2359	7873.888	8621.331	7494.425	8633.606	7428.668	12342.228
fig|536231.75.peg.2360	9578.467	9745.563	12320.085	7183.53	10819.552	10152.159
fig|536231.75.peg.2361	38421.887	40276.276	36933.49	43659.425	54144.823	72074.11
fig|536231.75.peg.2362	15974.847	16954.394	15818	13448	10792	19784
fig|536231.75.peg.2363	43	66	22	32	15	38
fig|536231.75.peg.2364	3481	4183	3255	2569.223	2598	4525.465
fig|536231.75.peg.2365	80	193	117	126.777	89	210.535
fig|536231.75.peg.2366	0	5	2	0	0	14
fig|536231.75.peg.2367	2061	2727.008	1904	1808.396	1566	3275.001
fig|536231.75.peg.2368	151	210.992	178	134.604	94	160.999
fig|536231.75.peg.2369	5257	6347	5862	5595	6113	9876
fig|536231.75.peg.2370	0	0	0	0	0	0
fig|536231.75.peg.2371	338	417	301	235	123	313
fig|536231.75.peg.2372	86	94	62	94	118	182
fig|536231.75.peg.2373	2295	2708	2058	2290	1662	2721
fig|536231.75.peg.2374	99	111	80	120	108	221
fig|536231.75.peg.2375	39	30	25	70	45	103
fig|536231.75.peg.2376	29.275	66	29	31.559	10	35
fig|536231.75.peg.2377	3485.783	3337	2843	2155.441	2048	3642
fig|536231.75.peg.2378	708	799	624	111	137	183
fig|536231.75.peg.2379	814.456	954	626	451.706	298	718
fig|536231.75.peg.2380	71.544	59	39	12.294	20	27
fig|536231.75.peg.2381	108.277	150.597	102	130.579	142.68	249.391
fig|536231.75.peg.2382	1032.775	1136.403	683	1543.113	1497.354	2408.608
fig|536231.75.peg.2383	270.948	444	327	221.308	234.966	457
fig|536231.75.peg.2384	177	228	139	79	42	82
fig|536231.75.peg.2385	1	2	0	3	0	9
fig|536231.75.peg.2386	76	203	134	93.192	69	122
fig|536231.75.peg.2387	864.464	824.01	719	567.528	546.423	933.734
fig|536231.75.peg.2388	307.536	284	218	110.281	113.577	202.266
fig|536231.75.peg.2389	3	0	0	0	0	0
fig|536231.75.peg.2390	524	716	387	289.334	249	499
fig|536231.75.peg.2391	130	135.526	210	88.666	55	119
fig|536231.75.peg.2392	7375.032	6861.474	5461	3496	2747	5734
fig|536231.75.peg.2393	701	697	628	342	274	573
fig|536231.75.peg.2394	1382	1386	1133	519	567	900
fig|536231.75.peg.2395	2602	2396	1714	1740	1547	2735
fig|536231.75.peg.2396	1698	1703	1192	923.726	702	1362
fig|536231.75.peg.2397	12	41	28	20.274	22	33
fig|536231.75.peg.2398	1003	1033.182	731	537	386	814
fig|536231.75.peg.2399	26.211	9	21.283	10.489	7	18.222
fig|536231.75.peg.2400	280.464	328.664	209.717	213.523	95	248.367
fig|536231.75.peg.2401	343.325	477.336	371	173.988	154	263.411
fig|536231.75.peg.2402	46	67	61	34	29	37
fig|536231.75.peg.2403	66	106	68	122.075	88.086	139
fig|536231.75.peg.2404	270	366	265	323.925	230.914	522
fig|536231.75.peg.2405	313	475	752	29	26	27
fig|536231.75.peg.2406	17826	37806	15000	787	290	371
fig|536231.75.peg.2407	244	220	103	98	44	99
fig|536231.75.peg.2408	396042.436	1001941.46	256715.922	7810	3721	3180
fig|536231.75.peg.2409	572	470	301	820	431	896
fig|536231.75.peg.2410	1833.904	1328.65	920.745	206.608	186	195.552
fig|536231.75.peg.2411	1638.797	1403.214	746.255	240.685	148	256.186
fig|536231.75.peg.2412	3185.3	3054.136	1593	418.707	287	454.262
fig|536231.75.peg.2413	1880	1675	957	218	140	242
fig|536231.75.peg.2414	1669	1318.671	699	322	242	354
fig|536231.75.peg.2415	73	28.329	61	11	6	4
fig|536231.75.peg.2416	62506.369	104143.995	33831	1836	1434	1157
fig|536231.75.peg.2417	0	1	0	0	0	0
fig|536231.75.peg.2418	3	5	3	1	3	0
fig|536231.75.peg.2419	38	30	19	8	10	3
fig|536231.75.peg.2420	0	0	0	0	0	0
fig|536231.75.peg.2421	123	89	59	7	8	4
fig|536231.75.peg.2422	3	1	3	4	0	0
fig|536231.75.peg.2423	787	658	861	11	1	17
fig|536231.75.peg.2424	1869	1977	2250	50	30	49
fig|536231.75.peg.2425	1172	1765	1533	27	5	22
fig|536231.75.peg.2426	17	43	39	0	0	0
fig|536231.75.peg.2427	242.965	125.34	386.001	9	9	21
fig|536231.75.peg.2428	142.59	119.407	158.951	5	3	4
fig|536231.75.peg.2429	671.445	900.253	1213.048	14	10	5
fig|536231.75.peg.2430	0	0	0	0	0	0
fig|536231.75.peg.2431	0	4	15	0	0	0
fig|536231.75.peg.2432	6	0	0	1	0	1
fig|536231.75.peg.2433	18	13	1	6	0	6
fig|536231.75.peg.2434	19	9	10	0	4	4
fig|536231.75.peg.2437	1	2	0	1	1	0
fig|536231.75.peg.2438	92.377	54	101	27.16	34	28.317
fig|536231.75.peg.2439	67.623	21	102	16.84	9	7.683
fig|536231.75.peg.2440	9	5	7	0	1	0
fig|536231.75.peg.2441	83	52	104	11	7	8
fig|536231.75.peg.2442	3464	3118	3898	287	266	303
fig|536231.75.peg.2443	2019	2296	1855	329	216	258
fig|536231.75.peg.2444	1238	1339	792	203	187	230
fig|536231.75.peg.2445	27050	44035.653	23475.019	1849	1524	1405
fig|536231.75.peg.2446	4766	2681	3547	612	409	401
fig|536231.75.peg.2447	145029.029	81374.765	102584.411	11384	8574	11510
fig|536231.75.peg.2448	131	113	130	21	7	6
fig|536231.75.peg.2449	2288	1932	1172	289	270	312
fig|536231.75.peg.2450	1996	1947	1008	187	123	170
fig|536231.75.peg.2451	93978.764	65711.546	71781	9251	7668	7679
fig|536231.75.peg.2452	1777	1442.342	1583	137	90	86
fig|536231.75.peg.2453	501	473	691	47	51	53
fig|536231.75.peg.2454	394	305	1009	66	50	56
fig|536231.75.peg.2455	7872	4146	11056	2218	1648	1777
fig|536231.75.peg.2456	628	810.773	2445	168	152	102
fig|536231.75.peg.2457	53205.261	66866.823	11469	2215.001	1841	1950
fig|536231.75.peg.2458	144	377	85	5	1	0
fig|536231.75.peg.2459	2433.181	4164.805	591	135.999	80	112
fig|536231.75.peg.2460	17184.817	26552.138	3301	931	621	697
fig|536231.75.peg.2461	915	651	514	191	139	135
fig|536231.75.peg.2462	96	65	85	7	14	9
fig|536231.75.peg.2463	53.006	54	80	0	1	3
fig|536231.75.peg.2464	1	0	0	0	0	0
fig|536231.75.peg.2465	141.363	131.096	140.638	5.018	17.119	19.116
fig|536231.75.peg.2466	596	345	509	30	28	28
fig|536231.75.peg.2467	246	169	174	21	24	13
fig|536231.75.peg.2468	186	188	105	39	14	22
fig|536231.75.peg.2469	50	122	46	12	5	5
fig|536231.75.peg.2470	123	229	67	18	6	29
fig|536231.75.peg.2471	0	2	0	0	0	0
fig|536231.75.peg.2472	1829	3044	932	241	253	172
fig|536231.75.peg.2473	12	108	0	1	1	1
fig|536231.75.peg.2474	2	30	6	0	0	0
fig|536231.75.peg.2475	868	657	572	95	76	101
fig|536231.75.peg.2476	769	569	538	151	137	122
fig|536231.75.peg.2477	33	25	35	3	1	8
fig|536231.75.peg.2478	233	173	232	17	16	19
fig|536231.75.peg.2479	158	122	179	10	8	4
fig|536231.75.peg.2480	0	0	0	0	0	0
fig|536231.75.peg.2481	523	424	450	58	32	27
fig|536231.75.peg.2482	474	232	316	30	37	18
fig|536231.75.peg.2483	289	146	366	16	18	17
fig|536231.75.peg.2484	5849	5387.136	2787	491	406	512
fig|536231.75.peg.2485	9254	6989	4944	422	365	441
fig|536231.75.peg.2486	5653.488	4290	2191	373	467	403
fig|536231.75.peg.2487	2035.012	1813	913	98	49	47
fig|536231.75.peg.2488	263.988	241	136	32	16	34
fig|536231.75.peg.2489	6	21	6	2	0	1
fig|536231.75.peg.2490	1004	1162	348	69	69	57
fig|536231.75.peg.2491	42476.915	37025.447	15269	3307	2071	2132
fig|536231.75.peg.2492	2155.061	1351.599	2157.004	373	344.999	338.774
fig|536231.75.peg.2493	470.297	279.401	377.996	114.153	99.001	102.226
fig|536231.75.peg.2494	470.642	371	508	126.847	71	96
fig|536231.75.peg.2495	1962	1376	3903	303	287	322
fig|536231.75.peg.2496	383.205	153.057	221.194	0	21.089	0
fig|536231.75.peg.2497	509	339	382	79	58	77
fig|536231.75.peg.2498	285	311	296	50	67	86
fig|536231.75.peg.2499	19	30	5	6	1	4
fig|536231.75.peg.2500	288.299	255.594	218	52	31	54.818
fig|536231.75.peg.2501	146.701	101.406	104	52	24	36.182
fig|536231.75.peg.2502	3242	2611	2304	579	467	544
fig|536231.75.peg.2503	285	301	336	36	25	36
fig|536231.75.peg.2504	1786	1230	2149	357	305	234
fig|536231.75.peg.2505	9	10	11	0	1	0
fig|536231.75.peg.2506	355	450	390	50	35	30
fig|536231.75.peg.2507	277	383.878	385.762	18	30	10
fig|536231.75.peg.2508	604	555.122	289.238	78	43	104
fig|536231.75.peg.2509	1225	1161	643	156	133	145
fig|536231.75.peg.2510	3097	3432	2103	442	409	450
fig|536231.75.peg.2511	530	575	305	146	103	119
fig|536231.75.peg.2512	1763.023	1992.001	1165	295	211	228
fig|536231.75.peg.2513	968	1052	651	222	175	212
fig|536231.75.peg.2514	1593	1343	1035	346	297	347
fig|536231.75.peg.2515	2607	3351	1921	512	305	292
fig|536231.75.peg.2516	5192	10065	4835	151	114	162
fig|536231.75.peg.2517	3150	4427	4722	32	23	28
fig|536231.75.peg.2518	29754.624	14552.44	15495	3439	2572	2361
fig|536231.75.peg.2519	154	105	153	25	4	9
fig|536231.75.peg.2520	48	59.997	45	17.493	7	15.634
fig|536231.75.peg.2521	102	95.003	84	24.507	1	10.366
fig|536231.75.peg.2522	336	293	220	32	18	35
fig|536231.75.peg.2523	262	309	182	27	25	17
fig|536231.75.peg.2524	1623	1543	1120	268	187	306
fig|536231.75.peg.2525	24.954	25	30	3	5	0
fig|536231.75.peg.2526	600.046	328	307	57	50	74
fig|536231.75.peg.2527	1583	1102	1619	220	183	274
fig|536231.75.peg.2528	699	474	587	119	93	148
fig|536231.75.peg.2529	483	349	377	91	95	129
fig|536231.75.peg.2530	3312.182	2963.285	2970.502	318.033	259.236	413.519
fig|536231.75.peg.2531	3039.393	2191.531	3247.121	865.613	892.593	642.215
fig|536231.75.peg.2532	1175.425	833.184	1012.377	277.354	196.171	223.266
fig|536231.75.peg.2533	145.03	122	148	35	31	18
fig|536231.75.peg.2534	1464	903	853	506	600	727
fig|536231.75.peg.2535	51	29	49	5	4	2
fig|536231.75.peg.2536	767	434	613	145.025	125	146
fig|536231.75.peg.2537	54	39	62	10.975	6	4
fig|536231.75.peg.2538	2590.013	1370	2423	574	448	420
fig|536231.75.peg.2539	1439	531	1278	408	296	389
fig|536231.75.peg.2540	165	78	80	40	18	23
fig|536231.75.peg.2541	5	13	12	0	0	0
fig|536231.75.peg.2542	3381	3099	2368.343	638	514	625
fig|536231.75.peg.2543	1147	1374	648	149	136	262
fig|536231.75.peg.2544	852	1061	252	228	199	233
fig|536231.75.peg.2545	26	10	18	3	0	6
fig|536231.75.peg.2546	80	42	50	8	2	6
fig|536231.75.peg.2547	84	92	94	25	16	11
fig|536231.75.peg.2548	33	82	68	6	6	0
fig|536231.75.peg.2551	27	23	15	2	8	3
fig|536231.75.peg.2552	47	66	105	2	2	6
fig|536231.75.peg.2553	19	8	17	0	4	1
fig|536231.75.peg.2554	21	3	13.003	0	2	3
fig|536231.75.peg.2555	1	1	0	0	0	0
fig|536231.75.peg.2556	10	7	11	1	0	0
fig|536231.75.peg.2557	18	17	16	1	0	3
fig|536231.75.peg.2558	0	0	0	0	0	1
