geneID	bt_t12_A	bt_t12_B	bt_t12_C	btri_t12_btA	btri_t12_btB	btri_t12_btC
BT_1700	7575.63	6636	5553.771	8636.606	7713	7117.034
BT_1701	0	0	0	0	0	0
BT_1702	2	12	6	4	12	4
BT_1703	65	34	25	44	46	30
BT_1704	178	114	160	67	46	85
BT_1705	1	2	6	8	16	4
BT_1706	7	21	5	23	33	65
BT_1707	1530	1148	1081	2287	2272	1931.997
BT_1708	13	23	12	28	17	23.003
BT_1709	42	22	42	29	41	22
BT_1710	13	23	10	17	24	22.946
BT_1711	27	18	12	4	8	6.054
BT_1712	187	145	194	91	66	66
BT_1713	0	3	0	0	3	1
BT_1714	82	76	69	39	68	56
BT_1715	59	30	32	12	40	24
BT_1716	153	133	108	173.879	221.015	152.922
BT_1717	51	32	19	17.121	20.985	36.078
BT_1718	238	242	226	224	214	184
BT_1719	51	62	63	24	22	42
BT_1720	70	42	54	41.282	37.196	52
BT_1721	91	75	72	74.718	61.804	69
BT_1722	131	139	95	126.234	153	113
BT_1723	672.414	459.826	629.309	763.831	476.849	551.199
BT_1724	3139.283	3556.38	4756.221	1435.015	897.9	875.452
BT_1725	258.518	172.763	225.213	156.002	161.203	170.001
BT_1726	1360.483	1119.546	1550.907	994.875	1008.892	933.623
BT_1727	1331	983	1163	2336.744	2321.337	2006.062
BT_1728	2092	1821	2076	2584.429	3540.663	3450.938
BT_1729	13044.824	10573.666	10765	11837.703	11627.202	11400.882
BT_1730	7351.176	5634.27	6339	6069.186	5753.516	5282.194
BT_1731	1586.037	1437.695	1313.757	1028.754	1163.843	1255.791
BT_1732	5695.963	4550.305	5907.243	3514.354	3744.44	3551.133
BT_1733	126324.734	88116.407	112962.876	208652.688	184214.314	148300.155
BT_1734	7729	6907.765	6601	3960.41	4205.933	4744.41
BT_1735	371	343.88	368	253.236	227.069	321.571
BT_1736	596	318.354	521	357.354	425.999	442.622
BT_1737	4616	4174	4090	4394.011	4329	4260.875
BT_1738	710	451	546	632.005	657	628.184
BT_1739	14745	12912	12123	24500	24904.495	23553.291
BT_1740	7460.476	6566.396	7527.559	12483.476	11178.902	9908.159
BT_1741	1663.34	1307.432	1807.441	944.356	576.843	642.595
BT_1742	6369.184	5138.173	7245	6771.854	6494.255	5887.457
BT_1743	21	36	19	11	3	5
BT_1744	7138	5873	6314	7827	7282	6721
BT_1745	474	447	506	1863	1852	1485
BT_1746	11335.184	9271.308	9231	6749.347	6816.103	8301.122
BT_1747	114521.847	99059.923	151421	93818.674	99633.421	105592.506
BT_1748	810	632	1000	499	593	404
BT_1749	199	144	253	793	776	616.015
BT_1750	1708	1351	1899	6427.371	6221	5406.985
BT_1751	578	441	620	1848	2418	2581
BT_1752	601	596	605	347	401	440
BT_1753	110.736	134	136	232.732	332.372	219.205
BT_1754	6803.264	5491	7145	8708.551	8732.999	8273.57
BT_1755	16	5	2	19	7	4
BT_1757	2689.137	2458.422	3072.284	439	486	516
BT_1758	8172.863	7036.578	9726.716	2004	2720	2426
BT_1759	36504.122	29149	38668	832	818	1008
BT_1760	19716.607	14926.904	19847.993	194	330	370
BT_1761	22536.33	18931.454	25320.007	459.963	542	641.006
BT_1762	25687.998	20895.712	30891	533.037	631	747
BT_1763	71883.065	57004.937	78946	2430	2768	3120
BT_1764	334	323	258	358	405	381
BT_1765	64695	47181	68526	6507	8070	8468
BT_1766	3024	2525	3413.427	3089	3345	2861
BT_1767	6355	4547	5750	5593	5879	5400
BT_1768	2563	2109	2013	2359	2279	2792
BT_1769	1316	1114	1310	3622	3021	2775
BT_1770	3000	2439	2462	6049	6063	5806
BT_1771	212	154	273	274.558	282	281
BT_1772	60	40	78	61.442	72	52.001
BT_1773	138	147	176	270	266	169.194
BT_1774	262	150	296	297.001	305	281.806
BT_1775	199	195	275	392	428	334
BT_1776	1892	1453	1620	2744	2321	2181
BT_1777	670	525	598	1820	1437	1278
BT_1778	300	221	292	595	563	432.418
BT_1779	99	77.404	77	271	253	245.582
BT_1780	113	96.596	98	224	234	218.312
BT_1781	353	294	379	768	686	647.688
BT_1782	2302	1875	2717	1937.151	2825.013	2922.995
BT_1783	7720	6928	8697	14993.434	16234.429	17657.298
BT_1784	3280	2686	2903.58	3364	3303	3656.266
BT_1785	10	5	0	10	11	3
BT_1786	12	14	2	10	10	5
BT_1787	81	86	50	196	152	141
BT_1788	0	0	0	2	1	4
BT_1789	8793	8729	9302	3911	4374	4114
BT_1790	28	58	31	89	96	106
BT_1791	4	7	18	8	8	13
BT_1792	302	335	405	393	416	433
BT_1793	4604.604	3151.324	5880.135	4681.76	5780.028	6874.219
BT_1794	18	37	24	61.251	51	64
BT_1795	706	519	777	864.749	888	701
BT_1796	826	680	686	794	782	885
BT_1797	1017	853	772	399	384	466
BT_1798	394	356	455	674	670.715	851.605
BT_1799	291	251	352	169	259.285	314.395
BT_1800	2209	1805	1743	1742.021	1458	1943
BT_1801	437	302	322	409.692	326	442.631
BT_1802	165	152	130	207.308	193	233.369
BT_1803	97	76	68	119	88	125
BT_1804	13827.355	11788	13542	9732.425	11181.693	10575.735
BT_1805	7661.521	7111.408	7491.342	3584.273	3966.688	4866.723
BT_1806	28796.522	24144.592	33957.168	32061.36	32282.689	29754.419
BT_1807	1888	1460	1820	973	995.738	955.926
BT_1808	207.777	197.205	211.398	89.455	109.801	102.881
BT_1809	12735.427	9877.485	12104.602	19340.754	17010.421	17010.487
BT_1810	1605.796	1069.311	1805	1314.645	1395.042	1217.706
BT_1811	801.355	670	791	1048.966	964.829	1071.569
BT_1812	17455.645	15910	16675	36523.553	44170.471	37748.347
BT_1813	2150.883	1869.483	2294.252	1184.62	1183.959	1290.768
BT_1814	8668.772	6091.517	9883.748	10128.225	8814.952	9433.119
BT_1815	1246	880	1074	1081.256	1051.203	1124.378
BT_1816	101	147	97	142.899	105.909	135.735
BT_1817	260	228	306	453	349	261
BT_1818	195	176	167	162	126	132
BT_1819	275	151	252	1039	1088	995
BT_1820	12132.023	8945.055	10665	12270.639	10205.118	9607.442
BT_1821	2377.872	1850.295	2304	676.02	608.893	645.803
BT_1822	816	709.65	1040	582.654	634.511	702.755
BT_1823	569.242	584.518	564	315.068	279	439.69
BT_1824	173.758	212.482	203	107.057	83	48.166
BT_1825	77	95	77	67.874	71	67.144
BT_1826	301	215	179	192	202	218
BT_1827	1006	945	1196	733	867	765
BT_1828	2390	2247	1980	1111	1260	1459
BT_1829	43936.809	46072.806	43817	42231.802	43847.457	52790.657
BT_1830	5930.191	5832.194	6349	6236.888	8865.009	8024.571
BT_1831	9402.403	6511	9168	20230.66	18544	18248
BT_1832	1039.597	905	768	305	270	359
BT_1833	13089	11480	11847	9396.002	8617.097	9757.63
BT_1834	1291.554	1040.453	1347	1034.255	1127.952	1222.918
BT_1835	711.446	619.547	888	659.654	841.046	899.68
BT_1836	487	325	491	590.091	664.996	685.261
BT_1837	155	138	133	110	167	166.141
BT_1838	1403	1099	1227	1892	1630	1506
BT_1839	1300	975	968	1895	1895	1580
BT_1840	10139	9496	9464	7159	9192.006	8464
BT_1841	7146	6990	10066	6956	8359	8422
BT_1842	160	159	138	246	232.033	237
BT_1843	16374	12405	13597.857	20079.926	16848.173	15905.526
BT_1844	3823.013	2828	3375	1487.826	1399.002	1647.191
BT_1845	1773.934	1348.722	2146.596	919.464	901	1126.62
BT_1846	5439.052	4853.278	5941.404	2975.355	2829	4027.769
BT_1847	32251.999	22484	25249	22017.411	17745.61	20750.703
BT_1848	367	308	248	211	233	342
BT_1849	0	0	0	0	0	0
BT_1850	1482.114	1148.512	1336.506	899.498	788.792	873.508
BT_1851	2483.701	2341.298	2166.309	2506.579	3067.28	2864.483
BT_1852	12542.185	10830.19	14066.185	14719.923	15211.941	12070.736
BT_1853	2993	2455.893	2777	1372.066	1507.001	1656
BT_1854	455.584	528.107	457.527	188.187	272.981	231.394
BT_1855	1059.416	781	1060.473	737.779	573.019	567.606
BT_1856	4939	3774	4171	3043.116	2946	2841
BT_1857	3315	2646	3968	2259.331	2860	3117
BT_1858	5691.368	4698	6710.496	5471.443	6600	5523.003
BT_1859	1355.629	1044.016	1627.504	406.225	382.013	511.24
BT_1860	5964.27	4938.984	6611	2912.652	3049.457	3397.835
BT_1861	6876.733	6240	7102	3499.147	3732.179	3805.943
BT_1862	32173	19755	32146	7748	6265	7844
BT_1863	189.604	227	135.603	45	78.505	87.755
BT_1864	6	0	1	4	5	21
BT_1865	0	0	7	7	15	14
BT_1866	0	0	0	1	0	5
BT_1867	79	67	55	126	76	60
BT_1868	373	207	168	358	266	296
BT_1869	14622	9008	5879.687	8597.867	4729.858	5427.295
BT_1870	9311	8623	7201.313	8405.183	8329.198	7788.24
BT_1871	1265	977	1202	2536.008	2534	2176.315
BT_1872	7317	5682	8811	14244.302	17253	13941.685
BT_1873	78	49	72	172	174.891	167
BT_1874	79	107	62	146	148.109	127.58
BT_1875	200	193	144	312	298	299.42
BT_1876	111	36	93	49	39.372	69
BT_1877	95	77	76	68	74.628	63
BT_1878	13808	10815	12813	13563.117	14113.756	11704
BT_1879	9994.247	8803.421	8262.508	14174.752	14283.539	14709.243
BT_1880	5863.521	4625.289	6071.492	3306.731	2986.442	3631.721
BT_1881	3423.8	2710.036	3414.87	2832.394	2489.791	2956.978
BT_1882	3019	2311.254	2360.13	4360.637	3749.228	4041.681
BT_1883	324	164	276	482	439	414
BT_1884	933	934	490	859.17	1464.581	1498.908
BT_1885	6151	5659	4933	2248.039	2552.419	3115.187
BT_1886	7690	7530	6179	5080.81	6310	7909.852
BT_1887	4587	4158	5111	2874	3356	3400.053
BT_1888	2006	1172	1556	2382	1610	1736
BT_1889	411	297	251	604	569	470
BT_1890	15	6	15	21	11	10
BT_1891	478.329	117.695	421.262	236.91	295.283	142.258
BT_1893	497	380	417	335	357	374
BT_1894	920	749	696	839.054	640	787
BT_1895	7511	4901	6930	7299	7993	4835
